"corpus","user/isabelle.gribomont/jcds_react"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"movilizar",3702,339086,89.77395,17.30641,4.959
"sucio",3137,285113,76.07262,14.55171,4.956
"soviético",3627,332375,87.95519,16.96389,4.952
"asesinato",6467,605159,156.82553,30.88635,4.950
"gubernamental",5614,525006,136.14018,26.79547,4.934
"calderón",3120,285844,75.66038,14.58902,4.918
"desenvolver",1519,131587,36.83593,6.71599,4.904
"amnistía",1373,118367,33.29541,6.04126,4.871
"librar",3353,311581,81.31065,15.90260,4.870
"helicóptero",2136,193570,51.79826,9.87950,4.853
"ca",1927,174584,46.72998,8.91049,4.816
"hegemónico",1023,85606,24.80787,4.36919,4.807
"do",4171,398337,101.14725,20.33049,4.789
"narco",1002,83953,24.29862,4.28483,4.787
"movimiento",36680,3637050,889.49445,185.62923,4.771
"organización",48505,4837117,1176.25208,246.87872,4.749
"colombia",19797,1977525,480.07965,100.92972,4.720
"nicaragüense",1043,89572,25.29288,4.57161,4.719
"decena",3940,382488,95.54548,19.52158,4.705
"conquista",3559,344368,86.30618,17.57599,4.700
"ejercitar",3035,291815,73.59912,14.89377,4.694
"poblador",2297,217343,55.70253,11.09284,4.689
"co",1964,183716,47.62724,9.37657,4.686
"despojar",1536,141205,37.24818,7.20688,4.661
"accionar",3446,338391,83.56592,17.27094,4.628
"centroamérica",1369,126019,33.19841,6.43181,4.602
"sacrificio",3561,352870,86.35468,18.00992,4.595
"vencer",9034,921217,219.07561,47.01744,4.583
"partidario",3162,313919,76.67888,16.02192,4.563
"izquierda",13679,1430773,331.71738,73.02438,4.495
"gobernante",3165,319976,76.75163,16.33106,4.486
"resistir",4956,509837,120.18360,26.02127,4.485
"cobarde",1083,99986,26.26288,5.10313,4.467
"concertación",1117,103725,27.08738,5.29396,4.463
"régimen",16433,1734610,398.50226,88.53172,4.462
"guatemala",3886,398912,94.23597,20.35983,4.459
"hambre",5137,532294,124.57287,27.16744,4.458
"centavo",1323,126767,32.08291,6.46999,4.429
"conciencia",10704,1134323,259.57330,57.89404,4.424
"privatización",1608,158846,38.99419,8.10725,4.391
"cubano",10774,1153357,261.27078,58.86551,4.381
"glorioso",1217,116912,29.51240,5.96700,4.380
"encubrir",1419,140937,34.41092,7.19320,4.322
"compatriota",1394,138339,33.80467,7.06060,4.318
"clase",36485,4017619,884.76569,205.05286,4.299
"bombardeo",1401,139989,33.97442,7.14481,4.294
"terror",3527,375573,85.53017,19.16865,4.290
"resistencia",11291,1243845,273.80811,63.48386,4.262
"peronismo",1474,149388,35.74468,7.62453,4.260
"convicción",2950,314346,71.53786,16.04372,4.256
"conquistar",3725,401068,90.33170,20.46987,4.254
"dirigente",10213,1129776,247.66649,57.66196,4.239
"desarmar",1055,103994,25.58388,5.30769,4.215
"reivindicación",2059,217435,49.93100,11.09754,4.210
"mártir",1141,114487,27.66939,5.84323,4.189
"concepción",6966,775129,168.92635,39.56135,4.189
"desatar",2462,265698,59.70380,13.56080,4.169
"maniobra",3065,335408,74.32662,17.11869,4.157
"anarquista",1354,140125,32.83466,7.15176,4.151
"vélez",1382,143501,33.51367,7.32406,4.146
"mexicano",18842,2163556,456.92075,110.42445,4.110
"humanidad",7746,881168,187.84143,44.97341,4.108
"salvador",6543,744621,158.66855,38.00427,4.094
"legitimar",1601,173221,38.82444,8.84092,4.047
"zapata",1362,145205,33.02866,7.41103,4.046
"humilde",2670,299078,64.74783,15.26446,4.042
"michoacán",1379,148049,33.44092,7.55618,4.025
"so",1411,152508,34.21692,7.78377,4.009
"sindical",5068,587392,122.89962,29.97955,3.999
"prd",1905,212190,46.19648,10.82984,3.990
"aspiración",2509,284355,60.84355,14.51303,3.987
"centroamericano",1296,139956,31.42816,7.14313,3.982
"autoritario",1215,131722,29.46390,6.72288,3.945
"reafirmar",1954,221702,47.38474,11.31532,3.929
"humanitario",2463,283814,59.72805,14.48541,3.922
"mentar",1131,122446,27.42689,6.24945,3.921
"subordinar",1073,115597,26.02038,5.89989,3.916
"re",3929,464475,95.27872,23.70606,3.897
"traicionar",1291,142881,31.30691,7.29242,3.896
"patrio",1276,141107,30.94315,7.20188,3.895
"perpetrar",1157,126637,28.05739,6.46335,3.893
"bandera",5639,676859,136.74643,34.54580,3.875
"unitario",1515,171445,36.73893,8.75028,3.871
"perón",1188,131338,28.80914,6.70328,3.870
"guerrero",4627,555058,112.20531,28.32928,3.860
"legitimidad",1599,183992,38.77594,9.39066,3.828
"correlación",1537,176388,37.27243,9.00256,3.826
"riqueza",5834,712059,141.47520,36.34235,3.815
"imposición",2175,256534,52.74401,13.09309,3.814
"firmeza",1294,147061,31.37966,7.50576,3.807
"fábrica",5310,648351,128.76814,33.09080,3.807
"mentira",4379,533416,106.19128,27.22470,3.798
"mil",11012,1367173,267.04233,69.77833,3.787
"huelga",4106,501069,99.57099,25.57376,3.785
"simpatía",1192,136209,28.90614,6.95189,3.761
"seno",3175,386908,76.99413,19.74717,3.759
"estratégico",8333,1039129,202.07626,53.03548,3.758
"peruano",4927,612956,119.48035,31.28430,3.732
"platicar",1065,121929,25.82638,6.22306,3.714
"latinoamericano",5482,687607,132.93916,35.09436,3.711
"complicidad",1332,157616,32.30116,8.04447,3.682
"desprecio",1126,131184,27.30564,6.69542,3.678
"continente",4608,582891,111.74456,29.74983,3.667
"anhelo",1062,123417,25.75363,6.29901,3.665
"herir",3900,491454,94.57547,25.08303,3.664
"sencillamente",1810,221272,43.89272,11.29337,3.652
"cárcel",4936,629865,119.69859,32.14730,3.641
"violencia",14978,1941393,363.21829,99.08560,3.639
"derrotar",4434,565012,107.52503,28.83731,3.637
"indignación",1044,122294,25.31713,6.24169,3.634
"digno",4861,624288,117.87984,31.86266,3.617
"honesto",1785,220868,43.28646,11.27275,3.609
"protesta",5424,704959,131.53265,35.97998,3.584
"asalto",1923,241039,46.63298,12.30225,3.581
"arrebatar",1259,153475,30.53090,7.83312,3.570
"cómplice",1398,172456,33.90167,8.80188,3.561
"bush",1677,210030,40.66745,10.71960,3.555
"persecución",2516,322448,61.01331,16.45723,3.552
"terrorista",4080,532615,98.94049,27.18382,3.546
"secuestro",2076,264166,50.34325,13.48261,3.545
"marcos",3027,391769,73.40512,19.99526,3.544
"destruir",7303,967262,177.09863,49.36751,3.536
"campamento",2489,322246,60.35855,16.44692,3.517
"gobierno",75384,10248124,1828.07104,523.04791,3.490
"muerto",4740,632292,114.94556,32.27118,3.485
"ciento",5113,683440,123.99087,34.88169,3.483
"selva",2058,267123,49.90675,13.63353,3.479
"engaño",1623,207738,39.35795,10.60262,3.478
"pri",2920,386776,70.81036,19.74043,3.462
"destrucción",3300,439231,80.02540,22.41765,3.460
"fila",3804,508814,92.24746,25.96906,3.458
"minoría",2040,267139,49.47025,13.63435,3.449
"constituyente",1911,249686,46.34198,12.74358,3.445
"américa",13453,1844173,326.23688,94.12364,3.440
"desigual",1088,136739,26.38413,6.97894,3.432
"to",3864,521832,93.70247,26.63347,3.427
"enfrentamiento",3242,435853,78.61889,22.24524,3.425
"prolongar",3855,522262,93.48421,26.65542,3.416
"cano",1247,159631,30.23990,8.14731,3.415
"conflicto",13316,1844790,322.91461,94.15514,3.404
"planteamiento",2926,395834,70.95586,20.20274,3.394
"empeñar",1408,183455,34.14417,9.36325,3.391
"política",31424,4395677,762.03577,224.34834,3.386
"privilegio",2716,367844,65.86333,18.77417,3.381
"corrupto",1973,265601,47.84549,13.55585,3.356
"asesino",2951,404384,71.56211,20.63911,3.353
"triunfo",6362,888260,154.27927,45.33537,3.351
"persistir",1601,214503,38.82444,10.94789,3.333
"históricamente",1453,194812,35.23542,9.94289,3.311
"forzar",3969,556204,96.24873,28.38777,3.309
"mediático",2364,326087,57.32729,16.64296,3.306
"pobre",9022,1286332,218.78459,65.65233,3.297
"decisivo",2381,330846,57.73954,16.88585,3.284
"partido",49895,7207876,1209.95972,367.87848,3.283
"trabajadores",2045,284644,49.59150,14.52778,3.258
"l",5392,774487,130.75665,39.52858,3.251
"elemental",1582,217958,38.36369,11.12423,3.247
"derrota",4435,636357,107.54928,32.47865,3.242
"crisis",15923,2329036,386.13467,118.87028,3.230
"explosivo",1692,235967,41.03120,12.04338,3.222
"diálogo",7625,1111066,184.90717,56.70704,3.222
"levantamiento",1375,189710,33.34392,9.68250,3.215
"nuestro",161485,23883874,3916.03076,1218.99487,3.211
"inmenso",3242,467123,78.61889,23.84121,3.205
"pobreza",5313,777083,128.84090,39.66108,3.193
"globalización",1621,228373,39.30944,11.65579,3.185
"país",90645,13556279,2198.15210,691.89087,3.174
"esencia",3815,558142,92.51421,28.48668,3.171
"poderoso",5477,807633,132.81792,41.22030,3.170
"cúpula",1302,182065,31.57366,9.29231,3.165
"profundizar",3184,465738,77.21239,23.77052,3.157
"usted",29931,4493468,725.83038,229.33943,3.155
"vocero",1304,183036,31.62216,9.34187,3.154
"acumulación",2023,291436,49.05799,14.87443,3.153
"desempleo",2427,352666,58.85505,17.99951,3.150
"montaña",6324,943142,153.35776,48.13646,3.141
"debilitar",1569,225468,38.04844,11.50753,3.122
"obedecer",2269,332213,55.02352,16.95562,3.120
"transformación",5832,876820,141.42671,44.75149,3.113
"mapuche",1286,182995,31.18566,9.33977,3.113
"invasión",2004,294389,48.59724,15.02514,3.095
"legítimo",2598,386968,63.00182,19.75023,3.084
"trabajador",24592,3789978,596.35895,193.43443,3.072
"jamás",5576,849716,135.21867,43.36815,3.070
"fortalecimiento",1930,286007,46.80273,14.59734,3.065
"mando",5190,791728,125.85813,40.40854,3.064
"engañar",2916,439373,70.71336,22.42490,3.061
"mafia",1085,156196,26.31138,7.97199,3.044
"bolívar",2576,391880,62.46831,20.00093,3.022
"naturalmente",1628,243005,39.47920,12.40259,3.020
"marchar",3558,547869,86.28194,27.96236,3.014
"conformación",1179,172865,28.59089,8.82275,3.012
"defender",13241,2076738,321.09586,105.99340,3.010
"superación",1169,171546,28.34839,8.75543,3.008
"intensificar",1136,167862,27.54814,8.56741,2.984
"independencia",6064,954508,147.05273,48.71656,2.978
"fracasar",1812,276113,43.94122,14.09237,2.978
"contra",61955,9899262,1502.41614,505.24255,2.970
"voluntad",7860,1246831,190.60594,63.63627,2.964
"fortalecer",5472,864980,132.69666,44.14720,2.961
"jefatura",1019,151288,24.71087,7.72150,2.948
"soberano",1694,260794,41.07970,13.31051,2.940
"detenido",1479,226214,35.86593,11.54560,2.939
"agredir",1341,204850,32.51941,10.45522,2.926
"aparato",4737,756963,114.87282,38.63419,2.924
"imperio",3843,613592,93.19321,31.31676,2.915
